상품ID,카테고리,업체,상품명,"가격(원, VAT별도)"
84,본식 스냅,제이투픽쳐스,본식 메인스냅(데이터형),350000
49,본식 스냅,빌라드블랑스냅,데이타형,350000
37,본식 스냅,제이마리드컴퍼니,제이마리드컴퍼니_데이터형,400000
85,본식 스냅,제이투픽쳐스,본식 메인스냅(앨범형),450000
53,본식 스냅,피앤씨 컴퍼니 (심스냅),[심스냅] 마음을 담은 순간 -데이터형,500000
3,본식 스냅,오픈웨딩 스냅,감성스냅 주의! 대표 작가가 직접 소중한 날을 기록합니다.,550000
54,본식 스냅,빌링스 스튜디오,Bespoke snap (데이터형),550000
12,본식 스냅,사라킴포토그라피,감성스냅 (데이터형),600000
38,본식 스냅,제이마리드컴퍼니,제이마리드컴퍼니_앨범형,600000
16,본식 스냅,프리즘홀,섬세한 감성으로 두분의 소중한 시작을 대표작가가 함께합니다!,600000
50,본식 스냅,빌라드블랑스냅,앨범형,600000
22,본식 스냅,달보드레스냅,원본 퀄리티보면 너무 예뻐서 깜짝 놀랄 수 있습니다. (본식 스냅 데이터형),630000
46,본식 스냅,빌리에또,소중한 순간이 더욱 특별해지도록 빌리에또가 함께하겠습니다(대표-데이터형),700000
10,본식 스냅,빈스냅,기억 이상의 기록으로 소중한 날을 남겨드립니다 (데이터형),700000
29,본식 스냅,달보드레스냅,당신의 결혼식을 영화처럼 담아드립니다. (본식 DVD 하이라이트),700000
32,본식 스냅,디어글로우 포토그라피,행복한 순간을 담는 이 일이 좋습니다. 저희로 인해 행복한 기억을 오래 간직하시길 바랄게요. 디어글로우_데이터형_대표촬영,720000
39,본식 스냅,제이마리드컴퍼니,제이마리드컴퍼니_프리미엄,800000
13,본식 스냅,사라킴포토그라피,감성스냅(앨범형),800000
34,본식 스냅,매리유,"빛나는 하루, 감동의 순간을 담는 매리유 본식스냅_1인작가",810000
23,본식 스냅,달보드레스냅,앨범 구성 살펴보면 너무 좋아서 깜짝 놀랄 수 있어요 (본식 스냅 앨범형),900000
30,본식 스냅,디어글로우 포토그라피,행복한 순간을 담는 이 일이 좋습니다. 저희로 인해 행복한 기억을 오래 간직하시길 바랄게요. 디어글로우_앨범형(라이트)_대표촬영,900000
45,본식 스냅,빌리에또,소중한 순간이 더욱 특별해지도록 빌리에또가 함께하겠습니다(대표-앨범형),900000
20,본식 스냅,짙은포토그라피,실장작가촬영,900000
40,본식 스냅,강산픽,야외&하우스웨딩 전문 자연주의 포토그래피 강산픽(대표_데이터형),900000
17,본식 스냅,프리즘홀,섬세한 감성으로 두분의 소중한 시작을 대표작가가 함께합니다!,900000
19,본식 스냅,짙은포토그라피,대표작가촬영 (데이터형),950000
41,본식 스냅,강산픽,야외&하우스웨딩 전문 자연주의 포토그래피 강산픽(대표_앨범형),985000
55,본식 스냅,빌링스 스튜디오,1인 가격으로 디테일한 2인촬영 (앨범형),1000000
35,본식 스냅,매리유,"빛나는 하루, 감동의 순간을 담는 매리유 본식스냅_2인작가",1050000
31,본식 스냅,디어글로우 포토그라피,행복한 순간을 담는 이 일이 좋습니다. 저희로 인해 행복한 기억을 오래 간직하시길 바랄게요. 디어글로우_앨범형(베이직)_대표촬영,1090000
14,본식 스냅,짙은포토그라피,대표작가촬영,1100000
86,서브 스냅,제이투픽쳐스,본식 서브스냅,200000
25,서브 스냅,달보드레스냅,서브 스냅 예약했는데 메인 스냅보다 예쁨 (본식 서브스냅),360000
15,서브 스냅,식모먼트,서브스냅 A,500000
44,세미 리허설 촬영,빌링스 스튜디오,합리적인 가격의 자연광 스튜디오,400000
27,세미 리허설 촬영,달보드레스냅,복잡한 스드메가 너무 어려워서 직접 만든 리허설 심플 촬영 (리허설 촬영),400000
1,아이폰 스냅,오픈웨딩 스냅,"15만원대로 끝내는 미니멀리즘 웨딩스냅, 스니비",10000
9,아이폰 스냅,루스모먼트(LuzMoment),"[A type] 소중한 그 날, 빛나는 순간을 담아드립니다 ෆ",170000
8,아이폰 스냅,에버리스냅,본식스냅,180000
7,아이폰 스냅,온미,[Data Only] 단 한 번 뿐인 따뜻한 아름다움을 담아드리는 𝐎𝐧𝐦𝐞𝐞 𝐒𝐧𝐚𝐩✨🤍🫧,190000
